repository,hypothesis_labels
cbrock84/headcount,agents_orchestration;software_engineering
hyeonsangjeon/when-reasoning-pays-off,planning_decision;reasoning_inference;model_efficiency_inference;interface_visualization
AMD-AGI/ReasonLite,reasoning_inference
intellectronica/generative-learning,reasoning_inference;prompt_optimization;model_training_adaptation
hhh2210/echoes-as-anchors,reasoning_inference;prompt_optimization;software_engineering
InternLM/EndoCoT,reasoning_inference
AbhaySingh71/AI-Lawyer-RAG-with-Deepseek,reasoning_inference;memory_knowledge;research_science;interface_visualization;domain_application
PPPP-kaqiu/Awesome-Parallel-Reasoning,reasoning_inference;software_engineering;research_science
czg1225/VeriThinker,reasoning_inference;verification_evaluation;model_training_adaptation
fscdc/ReasonMap,reasoning_inference;interface_visualization
OpenSPG/KAG-Thinker,reasoning_inference
BytedTsinghua-SIA/Direct-OPD,governance_safety;model_training_adaptation
IAAR-Shanghai/xVerify,reasoning_inference;verification_evaluation
UCSB-AI/Soft-Thinking,reasoning_inference;research_science
Zefan-Cai/R-KV,reasoning_inference;model_efficiency_inference
MiniMax-AI/MiniMax-M1,reasoning_inference
nawaz0x1/Qwen-NL2FOL,reasoning_inference;model_efficiency_inference
Dopular/TxAgent,reasoning_inference;agents_orchestration;data_connectors_tools;domain_application
ZiHAO-LI-cmd/rm4mt,reasoning_inference;verification_evaluation;domain_application
theMerovingian03/llm-reasoning-monitor,planning_decision;reasoning_inference;verification_evaluation;reliability_state
jmaasch/valid_reasoning,reasoning_inference;software_engineering;research_science;model_training_adaptation
shknth/reasoning-rl,reasoning_inference;model_training_adaptation
01-vyom/logic_cot,reasoning_inference
Chen-XueWen/ShapeofReasoning,reasoning_inference;model_training_adaptation
TillRS/state-of-thoughts-preview,reasoning_inference;reliability_state
shayanamir0/tiny-recursive-models,model_efficiency_inference
AditiT30/nyaya-engine,reasoning_inference;verification_evaluation;memory_knowledge;model_training_adaptation;interface_visualization
GeorgeMLP/reasoning-dimension,reasoning_inference
Hasan0ff/drivingattentionmechanism,reasoning_inference;memory_knowledge;model_efficiency_inference;domain_application
Willgunter/Engineering-Reasoning-LLM,reasoning_inference
Hiteshgottapu/ReAct-AI,reasoning_inference;agents_orchestration;verification_evaluation;memory_knowledge;execution_automation;governance_safety;research_science;interface_visualization;data_connectors_tools
sahal-mulki/cot-redirection,reasoning_inference;software_engineering;research_science;data_connectors_tools
joshualamerton/BeliefGraph,agents_orchestration;memory_knowledge
ACSanders/epistemically-eval,reasoning_inference;verification_evaluation;memory_knowledge;research_science
QZF-888/consistency-gated-self-correction,reasoning_inference;verification_evaluation;software_engineering
jmaasch/causal_arc,reasoning_inference
souvikshanku/latent-reasoning,reasoning_inference
cai-jianfeng/CodeContests-O,verification_evaluation;software_engineering
Pro-GenAI/S3Q-Reasoning,reasoning_inference
OPTML-Group/CyclicReflex,planning_decision;reasoning_inference
MING-ZCH/MetaphorStar,verification_evaluation;model_training_adaptation;interface_visualization;data_connectors_tools
andrewliao11/LongPerceptualThoughts,reasoning_inference;model_training_adaptation
tomascupr/thinkthread,reasoning_inference
dialexity/dialectical-framework,planning_decision;reasoning_inference;memory_knowledge
Trustworthy-ML-Lab/ThinkEdit,reasoning_inference;software_engineering
linhaowei1/kumo,reasoning_inference;verification_evaluation
Proteusiq/unthinking,reasoning_inference;memory_knowledge
mims-harvard/Qworld,verification_evaluation
UCSC-VLAA/STAR-1,reasoning_inference
MozerWang/AMPO,agents_orchestration;governance_safety;model_training_adaptation
SalesforceAIResearch/MAS-Zero,agents_orchestration;research_science
mims-harvard/AutoScientists,agents_orchestration;research_science
Sibyl-Research-Team/AutoResearch-SibylSystem,agents_orchestration;software_engineering;research_science;interface_visualization
AFRL-ARES/ARES,agents_orchestration;execution_automation;software_engineering;research_science;interface_visualization
AD-SDL/MADSci,agents_orchestration;software_engineering;research_science
dekunsun/ai-to-lab-orchestrator,agents_orchestration;model_training_adaptation;domain_application
WeiboAI/VibeThinker,reasoning_inference;model_training_adaptation;model_efficiency_inference
mims-harvard/ToolUniverse,research_science;data_connectors_tools
Aiden-Vihaan/Nexus-AI-Productivity_Dashboard,planning_decision;memory_knowledge;execution_automation;interface_visualization
Arigitshub/mind-models,reasoning_inference;research_science
aveproject/ave,agents_orchestration
Kdt51431/m1-m5-identity-metrics,planning_decision;verification_evaluation
StefHerregods/ConfidenceBounds,research_science
evoluteur/healing-frequencies,other_uncertain
n0iia/Prompted-Behavioral-Architecture,prompt_optimization;model_training_adaptation;data_connectors_tools
5ynthaire/ZoomFirstReasoningProtocol,reasoning_inference;model_training_adaptation
CoMakery/self-organization-constitution,agents_orchestration
marmarelis/TreatmentCurves.jl,other_uncertain
alib8b8/aflare,planning_decision;reasoning_inference;agents_orchestration;execution_automation;reliability_state;data_connectors_tools
Code4Myself/GoogleTakeoutParser,software_engineering
hushh-labs/hushh-research,agents_orchestration;research_science
mcwaage1/qs,software_engineering;interface_visualization
cal-ucsd/ExtraSensoryAndroid,memory_knowledge
pinkpixel-dev/deep-research-mcp,memory_knowledge;research_science;data_connectors_tools
synacker/daggy,software_engineering
The-Osint-Toolbox/People-Search-OSINT,data_connectors_tools
fastverse/fastverse,software_engineering;interface_visualization
rizzshi/Pulse,execution_automation;reliability_state;research_science;interface_visualization;domain_application
nodedge/nodedge,memory_knowledge
AhmedElbanawi/MicroWave,planning_decision;execution_automation
EviAmarates/Fresta-Diamond,verification_evaluation;execution_automation;reliability_state;research_science
Devanik21/Self-Correcting-Language-Model,verification_evaluation;interface_visualization
Devanik21/BSHDER-Architecture,prompt_optimization;memory_knowledge;reliability_state;software_engineering;interface_visualization
ZeroPersonAI/orbis-dei,agents_orchestration;governance_safety;research_science;interface_visualization
CameliaD/File-Organizer,execution_automation;software_engineering;interface_visualization;data_connectors_tools
AmanPriyanshu/GeneticPromptLab,prompt_optimization;execution_automation;model_training_adaptation
yiheng-wang-duke/Metaheuristic-Algorithms-For-JSP-and-FJSP-Problems,planning_decision;execution_automation
developzir/gepa-mcp,prompt_optimization;execution_automation;model_training_adaptation;data_connectors_tools
